"header","title","titleUrl","time","products","activityControls","description","details","subtitles"
"YouTube Music","Searched for taiping gu niang","https://www.youtube.com/results?search_query\u003dtaiping+gu+niang","2023-05-29T15:16:14.342Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for 绣春刀","https://www.youtube.com/results?search_query\u003d%E7%BB%A3%E6%98%A5%E5%88%80","2023-05-29T14:56:47.004Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for what happened to liziqi ","https://www.youtube.com/results?search_query\u003dwhat+happened+to+liziqi+","2023-05-29T14:52:40.259Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for li ziqi","https://www.youtube.com/results?search_query\u003dli+ziqi","2023-05-29T14:52:08.283Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for Teachers yelling coz of chatGPT ","https://www.youtube.com/results?search_query\u003dTeachers+yelling+coz+of+chatGPT+","2023-05-29T12:33:38.900Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for dalmore group","https://www.youtube.com/results?search_query\u003ddalmore+group","2023-05-29T03:28:39.680Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for drug makes people like zombies","https://www.youtube.com/results?search_query\u003ddrug+makes+people+like+zombies","2023-05-28T06:17:03.668Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for drug overdose walking dead","https://www.youtube.com/results?search_query\u003ddrug+overdose+walking+dead","2023-05-28T06:10:54.111Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for ai asian girl","https://www.youtube.com/results?search_query\u003dai+asian+girl","2023-05-28T05:47:37.151Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for 初见","https://www.youtube.com/results?search_query\u003d%E5%88%9D%E8%A7%81","2023-05-28T05:13:46.943Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube Music","Searched for 初见","https://www.youtube.com/results?search_query\u003d%E5%88%9D%E8%A7%81","2023-05-28T04:41:31.520Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube Music","Searched for 电视剧主题曲","https://www.youtube.com/results?search_query\u003d%E7%94%B5%E8%A7%86%E5%89%A7%E4%B8%BB%E9%A2%98%E6%9B%B2","2023-05-28T04:41:26.782Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for biden ai","https://www.youtube.com/results?search_query\u003dbiden+ai","2023-05-28T04:15:51.658Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for what prompts that help chatgpt to tailor your resume","https://www.youtube.com/results?search_query\u003dwhat+prompts+that+help+chatgpt+to+tailor+your+resume","2023-05-28T03:13:03.859Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for russianbadger","https://www.youtube.com/results?search_query\u003drussianbadger","2023-05-26T20:49:51.423Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for cult","https://www.youtube.com/results?search_query\u003dcult","2023-05-26T19:14:09.323Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for 谈古论今","https://www.youtube.com/results?search_query\u003d%E8%B0%88%E5%8F%A4%E8%AE%BA%E4%BB%8A","2023-05-26T04:12:05.296Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for how to fix secure-file-priv on mac","https://www.youtube.com/results?search_query\u003dhow+to+fix+secure-file-priv+on+mac","2023-05-26T01:16:38.713Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for slander","https://www.youtube.com/results?search_query\u003dslander","2023-05-24T23:41:12.664Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for 谈古论今","https://www.youtube.com/results?search_query\u003d%E8%B0%88%E5%8F%A4%E8%AE%BA%E4%BB%8A","2023-05-24T23:39:12.129Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for boom sound effect","https://www.youtube.com/results?search_query\u003dboom+sound+effect","2023-05-24T21:20:44.891Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for nguyen dynasty","https://www.youtube.com/results?search_query\u003dnguyen+dynasty","2023-05-24T21:18:59.511Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for ai generated xi jing ping","https://www.youtube.com/results?search_query\u003dai+generated+xi+jing+ping","2023-05-24T21:11:19.403Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
